Id;source;latitude;longitude;region;country;admin1;localityName;localityQuality;observationDate;reportingDate;status;disease;serotypes;speciesDescription;sumAtRisk;sumCases;sumDeaths;sumDestroyed;sumSlaughtered;humansGenderDesc;humansAge;humansAffected;humansDeaths
238415;OIE;55.302539;47.023101;Europe;Russian Federation;Chuvashiya Rep.;Ibresi ;Exact;2018-07-06;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;31;19;19;12;;;0;;
238414;OIE;54.81192;47.399144;Europe;Russian Federation;Tatarstan Rep.;SHlanga;Exact;2018-07-05;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;71;30;30;41;;;0;;
238413;OIE;47.758359;39.99459;Europe;Russian Federation;Rostovskaya Oblast;Novopavlovka ;Exact;2018-07-03;2018-07-18;Confirmed;Influenza - Avian;H5N8 HPAI;domestic, unspecified bird;78194;424;424;64743;;;0;;
238406;National authorities;54.9;11.3458;Europe;Denmark;Storstroem;Vejrø ;Unknown;2018-07-08;2018-07-18;Confirmed;Influenza - Avian;H5N6 HPAI;wild,common eider (somateria mollissima));;1;1;;;;0;;
238210;OIE;23.7243;120.2682;Asia;Taiwan (Province of China);Taiwan Sheng;Dongshi Township;Exact;2018-07-02;2018-07-12;Confirmed;Influenza - Avian;H5N2 HPAI;domestic, turkey;771;161;161;610;;;0;;
238207;OIE;55.405045;45.626327;Europe;Russian Federation;Nizhegorodskaya Oblast; Urazovka ;Exact;2018-07-09;2018-07-11;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;27;8;8;;;;0;;
238206;OIE;52.827714;37.248547;Europe;Russian Federation;Orlovskaya Oblast; Degtyaren ;Exact;2018-07-06;2018-07-11;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;15;3;3;12;;;0;;
238205;OIE;53.314701;36.646785;Europe;Russian Federation;Orlovskaya Oblast;Lekhanovka ;Exact;2018-07-06;2018-07-11;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;64;4;4;60;;;0;;
238204;OIE;51.749987;35.97812;Europe;Russian Federation;Kurskaya Oblast;Polyanskoe  ;Exact;2018-07-04;2018-07-11;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;43;2;2;;;;0;;
238203;OIE;48.165195;40.820831;Europe;Russian Federation;Rostovskaya Oblast;"AO ""Ptitsefabrika Belokalitvinskaya"",  ";Exact;2018-07-04;2018-07-11;Confirmed;Influenza - Avian;H5 HPAI;domestic, unspecified bird;616000;6054;6054;;;;0;;
28066;OIE;37.62;-120.969;Americas;United States of America;California;Stanislaus County;Exact;2018-09-08;2018-09-25;Confirmed;Influenza - Avian;H7N3 LPAI;domestic, turkey;35162;;;;;;;;
28949;OIE;19.56816;85.241236;Asia;India;Orissa;Alanda and Siala;Exact;2018-12-07;2018-12-15;Confirmed;Influenza - Avian;H5N1 HPAI;domestic, unspecified bird;6123;5603;5603;520;520;;;;
